City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Saint-Augustin,CA,63.52,51.23,-58.65,
7,Nicoya,CR,87.8,10.15,-85.45,Guayacan Real
8,Mkokotoni,TZ,77.0,-5.88,39.25,
9,East London,ZA,66.2,-33.02,27.91,Tu Casa
10,Rikitea,PF,72.25,-23.12,-134.97,Pension Maro'i
11,Port Alfred,ZA,74.62,-33.59,26.89,The Halyards Hotel
12,Vaini,TO,68.0,-21.2,-175.2,Keleti Beach Resort
15,Phek,IN,61.21,25.67,94.5,Prayer Centre
16,Bethel,US,82.0,41.37,-73.41,Courtyard by Marriott Danbury
17,Mahebourg,MU,68.0,-20.41,57.7,Shandrani Beachcomber Resort & Spa
18,Hilo,US,78.8,19.73,-155.09,Hilo Hawaiian Hotel
19,Castro,BR,74.91,-24.79,-50.01,CHACARA BAILLY
20,Marshalltown,US,81.0,42.05,-92.91,Best Western Regency Inn
22,Prestea,GH,74.55,5.43,-2.14,Channel 5
23,Kavieng,PG,82.38,-2.57,150.8,Nusa Island Retreat
24,Torbay,CA,72.0,47.67,-52.73,Gallows Cove
26,Mocuba,MZ,65.57,-16.84,36.99,Phama Lodge
27,Kaseda,JP,77.77,31.42,130.32,Sun Stay Kaseda
29,Masindi,UG,65.37,1.67,31.71,New Court View Hotel
32,Destin,US,91.4,30.39,-86.5,Inn On Destin Harbor
33,Jamestown,US,69.01,42.1,-79.24,Hampton Inn & Suites Jamestown
35,San Quintin,MX,79.45,30.48,-115.95,Old Mill Hotel
36,Faanui,PF,77.56,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
37,Ucar,AZ,69.8,40.52,47.65,Aşura market
39,San Patricio,MX,89.6,19.22,-104.7,Hotel Cabo Blanco
40,Limni,GR,73.0,38.77,23.32,Kaminos Resort
41,Saint-Joseph,RE,69.8,-21.37,55.62,"""Plantation Bed and Breakfast"
42,Merauke,ID,77.04,-8.47,140.33,
44,Vila,PT,79.0,42.03,-8.16,Hotel Castrum Villae
45,Shingu,JP,74.77,33.73,135.98,Shingu UI Hotel
46,Ribeira Grande,PT,75.2,38.52,-28.7,Quinta da Meia Eira
48,Maroantsetra,MG,67.42,-15.43,49.73,La Pagode
50,Erenhot,CN,61.23,43.65,111.98,Erenhot Rurouni Youth Hostel
51,Avarua,CK,77.0,-21.21,-159.78,Paradise Inn
52,Bandarbeyla,SO,75.67,9.49,50.81,REER XOOSHLE GROUP
53,Ambilobe,MG,71.37,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
56,Surovikino,RU,67.69,48.61,42.85,Guest House on Naberezhnaya 92
58,Sibu,MY,77.0,2.3,111.82,RH HOTEL (4 Star)
59,Arraial Do Cabo,BR,91.4,-22.97,-42.03,Pousada Porto Praia
61,Imbituba,BR,62.6,-28.24,-48.67,Praia Hotel Imbituba
62,Jimma,ET,60.04,7.67,36.83,Jimma Central Hotel
63,Hasaki,JP,77.0,35.73,140.83,Inubosaki Kanko Hotel
64,Port Elizabeth,ZA,71.6,-33.92,25.57,39 On Nile Guest House
65,Tura,IN,75.88,25.52,90.22,Hotel RIKMAN Continental
68,Tutoia,BR,82.78,-2.76,-42.27,Pousada Guará's
69,Rancho San Diego,US,91.99,32.75,-116.94,Lamplighter Village
71,Kapaa,US,73.4,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
73,Bengkulu,ID,75.63,-3.8,102.27,Grage Hotel Bengkulu
74,Raga,SS,71.56,8.46,25.68,
77,Atuona,PF,78.94,-9.8,-139.03,Villa Enata
79,Manaure,CO,87.66,11.78,-72.44,Del mar vendra
81,Nantucket,US,78.8,41.28,-70.1,Jared Coffin House
83,Albany,US,75.99,42.6,-73.97,
84,Mackay,AU,64.4,-21.15,149.2,International Lodge Motel
