City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Airai,-8.93,125.41,56.3,51,21,2.8,few clouds
1,Palmer,42.16,-72.33,75.99,49,20,4.56,few clouds
2,Khatanga,71.97,102.5,40.46,75,0,4.72,clear sky
3,Alofi,-19.06,-169.92,71.6,64,69,14.99,broken clouds
4,Kodiak,57.79,-152.41,53.6,93,90,21.92,light rain
5,Kruisfontein,-34.0,24.73,61.0,79,25,5.99,scattered clouds
6,Pleasanton,37.66,-121.87,82.99,43,1,2.08,haze
7,Buchanan,5.88,-10.05,80.6,83,75,6.93,broken clouds
8,Sao Filipe,14.9,-24.5,78.39,79,77,10.71,broken clouds
9,Puerto Ayora,-0.74,-90.35,71.6,68,40,13.87,scattered clouds
10,Mataura,-46.19,168.86,45.0,72,87,11.01,overcast clouds
11,Castro,-24.79,-50.01,82.33,32,1,10.51,clear sky
12,Kapaa,22.08,-159.32,78.8,74,75,13.87,broken clouds
13,Dikson,73.51,80.55,42.19,80,59,17.36,broken clouds
14,Puerto Colombia,10.99,-74.95,89.6,75,20,4.7,few clouds
15,Tambacounda,13.75,-13.76,87.8,66,75,9.17,broken clouds
16,New Norfolk,-42.78,147.06,50.0,55,100,3.94,overcast clouds
17,Ostrovnoy,68.05,39.51,55.89,76,61,13.8,broken clouds
18,Dhemaji,27.48,94.58,75.79,94,100,4.07,overcast clouds
19,Lompoc,34.64,-120.46,69.8,72,1,3.36,clear sky
20,Jamestown,42.1,-79.24,66.99,77,1,5.82,clear sky
21,Plettenberg Bay,-34.05,23.37,60.28,88,70,5.32,light rain
22,Busselton,-33.65,115.33,55.99,62,100,20.38,light rain
23,Kavaratti,10.57,72.64,81.91,78,100,28.74,moderate rain
24,Kapit,2.02,112.93,73.87,94,100,1.86,light rain
25,Hithadhoo,-0.6,73.08,82.18,76,92,10.47,overcast clouds
26,Hobart,-42.88,147.33,50.0,76,100,5.82,overcast clouds
27,Esperance,-33.87,121.9,59.0,82,90,12.75,overcast clouds
28,Great Falls,47.5,-111.3,64.0,54,1,4.7,clear sky
29,Longyearbyen,78.22,15.64,42.8,87,75,6.93,broken clouds
30,Xai-Xai,-25.05,33.64,65.91,73,50,6.38,scattered clouds
31,Rikitea,-23.12,-134.97,72.77,82,4,15.97,clear sky
32,Arraial Do Cabo,-22.97,-42.03,84.2,69,98,16.11,overcast clouds
33,Ketchikan,55.34,-131.65,55.4,100,90,4.7,light rain
34,Saraland,30.82,-88.07,84.2,58,1,6.93,clear sky
35,Port Elizabeth,-33.92,25.57,61.0,79,74,5.99,broken clouds
36,Vao,-22.67,167.48,70.7,77,100,15.77,overcast clouds
37,Meulaboh,4.14,96.13,77.22,81,100,4.74,overcast clouds
38,Noumea,-22.28,166.46,72.0,82,100,8.9,overcast clouds
39,Sucua,-2.47,-78.17,71.6,78,20,3.36,few clouds
40,Cherskiy,68.75,161.3,41.16,67,92,13.31,overcast clouds
41,Haines Junction,60.75,-137.51,41.41,76,0,0.13,clear sky
42,Tigil,57.8,158.67,46.62,93,100,10.27,light rain
43,Saint-Philippe,-21.36,55.77,69.8,83,22,5.82,few clouds
44,Avarua,-21.21,-159.78,69.8,64,61,9.17,broken clouds
45,Nikolskoye,59.7,30.79,62.6,67,40,6.71,scattered clouds
46,Yellowknife,62.46,-114.35,43.0,75,75,6.93,broken clouds
47,Chokurdakh,70.63,147.92,38.17,77,22,6.42,few clouds
48,Xudat,41.63,48.68,75.6,66,0,5.44,clear sky
49,East London,-33.02,27.91,59.0,93,40,3.36,light rain
50,Chuy,-33.7,-53.46,57.76,68,0,12.55,clear sky
51,Banjar,-8.19,114.97,78.8,100,40,10.29,scattered clouds
52,Kem,64.96,34.58,57.9,74,99,5.7,overcast clouds
53,Ginir,7.13,40.7,64.85,76,24,8.37,light rain
54,Ribeira Grande,38.52,-28.7,73.4,53,40,19.46,scattered clouds
55,Asau,46.43,26.4,72.0,66,0,1.41,clear sky
56,Butaritari,3.07,172.79,83.03,71,100,18.66,overcast clouds
57,Oksfjord,70.24,22.35,52.0,87,75,2.24,light intensity drizzle
