City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,2020-09-04 18:36:38,-34.42,19.23,57.0,80,1,13.42
1,Saint-Augustin,CA,2020-09-04 18:36:38,51.23,-58.65,63.52,93,100,19.8
2,Pevek,RU,2020-09-04 18:36:38,69.7,170.31,34.75,88,86,4.61
3,Wonthaggi,AU,2020-09-04 18:36:38,-38.6,145.59,52.0,87,10,15.64
4,Provideniya,RU,2020-09-04 18:36:39,64.38,-173.3,41.05,69,10,3.22
5,Nome,US,2020-09-04 18:36:29,64.5,-165.41,43.0,87,90,4.7
6,Busselton,AU,2020-09-04 18:36:39,-33.65,115.33,57.99,87,93,11.72
7,Nicoya,CR,2020-09-04 18:36:39,10.15,-85.45,87.8,66,75,6.93
8,Mkokotoni,TZ,2020-09-04 18:36:39,-5.88,39.25,77.0,83,20,12.75
9,East London,ZA,2020-09-04 18:36:40,-33.02,27.91,66.2,82,0,11.41
10,Rikitea,PF,2020-09-04 18:36:40,-23.12,-134.97,72.25,82,17,14.16
11,Port Alfred,ZA,2020-09-04 18:36:40,-33.59,26.89,74.62,52,0,18.48
12,Vaini,TO,2020-09-04 18:36:40,-21.2,-175.2,68.0,72,40,12.75
13,Mount Gambier,AU,2020-09-04 18:36:41,-37.83,140.77,42.8,93,2,8.05
14,Parabel,RU,2020-09-04 18:36:42,58.7,81.48,46.47,95,99,3.06
15,Phek,IN,2020-09-04 18:36:42,25.67,94.5,61.21,100,83,0.45
16,Bethel,US,2020-09-04 18:32:09,41.37,-73.41,82.0,54,40,11.41
17,Mahebourg,MU,2020-09-04 18:36:43,-20.41,57.7,68.0,72,75,14.99
18,Hilo,US,2020-09-04 18:36:43,19.73,-155.09,78.8,65,90,5.82
19,Castro,BR,2020-09-04 18:36:43,-24.79,-50.01,74.91,54,94,3.71
20,Marshalltown,US,2020-09-04 18:36:44,42.05,-92.91,81.0,31,75,11.41
21,Codrington,AU,2020-09-04 18:36:44,-38.27,141.97,45.03,90,0,7.72
22,Prestea,GH,2020-09-04 18:36:54,5.43,-2.14,74.55,83,22,5.41
23,Kavieng,PG,2020-09-04 18:36:54,-2.57,150.8,82.38,75,100,6.02
24,Torbay,CA,2020-09-04 18:35:21,47.67,-52.73,72.0,77,75,23.04
25,Barrow,US,2020-09-04 18:36:55,71.29,-156.79,39.2,86,90,4.9
26,Mocuba,MZ,2020-09-04 18:36:56,-16.84,36.99,65.57,80,6,4.61
27,Kaseda,JP,2020-09-04 18:36:56,31.42,130.32,77.77,84,97,9.44
28,Punta Arenas,CL,2020-09-04 18:32:12,-53.15,-70.92,42.8,81,75,8.05
29,Masindi,UG,2020-09-04 18:36:57,1.67,31.71,65.37,93,49,3.04
30,Kvarkeno,RU,2020-09-04 18:36:57,52.08,59.73,51.39,58,66,4.65
31,Butka,RU,2020-09-04 18:36:57,56.72,63.79,44.38,86,70,5.55
32,Destin,US,2020-09-04 18:36:36,30.39,-86.5,91.4,70,1,8.05
33,Jamestown,US,2020-09-04 18:36:57,42.1,-79.24,69.01,52,40,13.87
34,Ushuaia,AR,2020-09-04 18:34:21,-54.8,-68.3,41.0,75,75,3.36
35,San Quintin,MX,2020-09-04 18:36:59,30.48,-115.95,79.45,59,4,11.05
36,Faanui,PF,2020-09-04 18:37:00,-16.48,-151.75,77.56,80,1,20.45
37,Ucar,AZ,2020-09-04 18:37:00,40.52,47.65,69.8,73,0,4.7
38,Bredasdorp,ZA,2020-09-04 18:37:00,-34.53,20.04,57.2,76,0,8.05
39,San Patricio,MX,2020-09-04 18:37:00,19.22,-104.7,89.6,75,40,11.41
40,Limni,GR,2020-09-04 18:37:01,38.77,23.32,73.0,48,0,3.0
41,Saint-Joseph,RE,2020-09-04 18:37:01,-21.37,55.62,69.8,73,75,10.29
42,Merauke,ID,2020-09-04 18:37:01,-8.47,140.33,77.04,79,51,16.6
43,Lebu,CL,2020-09-04 18:37:02,-37.62,-73.65,51.87,61,100,5.3
44,Vila,PT,2020-09-04 18:37:02,42.03,-8.16,79.0,40,0,7.0
45,Shingu,JP,2020-09-04 18:37:02,33.73,135.98,74.77,89,89,4.61
46,Ribeira Grande,PT,2020-09-04 18:37:02,38.52,-28.7,75.2,73,40,23.04
47,Yantal,RU,2020-09-04 18:37:03,56.85,105.25,56.61,82,0,2.21
48,Maroantsetra,MG,2020-09-04 18:37:03,-15.43,49.73,67.42,81,59,6.98
49,Sitka,US,2020-09-04 18:36:57,57.05,-135.33,53.6,93,75,3.36
50,Erenhot,CN,2020-09-04 18:37:03,43.65,111.98,61.23,53,0,5.55
51,Avarua,CK,2020-09-04 18:37:03,-21.21,-159.78,77.0,88,0,5.82
52,Bandarbeyla,SO,2020-09-04 18:37:04,9.49,50.81,75.67,81,23,24.63
53,Ambilobe,MG,2020-09-04 18:37:04,-13.2,49.05,71.37,83,85,1.97
54,Rawson,AR,2020-09-04 18:37:04,-43.3,-65.1,50.59,48,67,19.57
55,Grindavik,IS,2020-09-04 18:37:04,63.84,-22.43,50.0,57,20,16.11
56,Surovikino,RU,2020-09-04 18:37:05,48.61,42.85,67.69,30,100,12.86
57,Atar,MR,2020-09-04 18:37:05,20.52,-13.05,104.94,16,7,12.46
58,Sibu,MY,2020-09-04 18:37:05,2.3,111.82,77.0,94,40,2.24
59,Arraial Do Cabo,BR,2020-09-04 18:37:05,-22.97,-42.03,91.4,45,0,12.75
60,Yellowknife,CA,2020-09-04 18:36:09,62.46,-114.35,53.01,50,40,2.24
61,Imbituba,BR,2020-09-04 18:37:06,-28.24,-48.67,62.6,72,75,13.87
62,Jimma,ET,2020-09-04 18:37:06,7.67,36.83,60.04,88,100,1.72
63,Hasaki,JP,2020-09-04 18:37:06,35.73,140.83,77.0,94,20,4.7
64,Port Elizabeth,ZA,2020-09-04 18:37:06,-33.92,25.57,71.6,64,0,16.11
65,Tura,IN,2020-09-04 18:37:07,25.52,90.22,75.88,86,100,2.57
66,Cape Town,ZA,2020-09-04 18:37:07,-33.93,18.42,59.0,82,20,10.29
67,Vanavara,RU,2020-09-04 18:37:07,60.34,102.28,56.05,94,64,2.68
68,Tutoia,BR,2020-09-04 18:37:07,-2.76,-42.27,82.78,67,3,12.77
69,Rancho San Diego,US,2020-09-04 18:32:18,32.75,-116.94,91.99,48,5,3.36
70,Hobart,AU,2020-09-04 18:36:35,-42.88,147.33,50.0,66,40,12.75
71,Kapaa,US,2020-09-04 18:37:08,22.08,-159.32,73.4,100,90,8.05
72,Luxor,EG,2020-09-04 18:37:08,25.7,32.64,100.4,19,9,4.7
73,Bengkulu,ID,2020-09-04 18:37:08,-3.8,102.27,75.63,90,91,4.27
74,Raga,SS,2020-09-04 18:37:08,8.46,25.68,71.56,93,92,3.44
75,Anchorage,US,2020-09-04 18:32:31,61.22,-149.9,51.8,70,1,1.1
76,Qaanaaq,GL,2020-09-04 18:37:09,77.48,-69.36,28.63,85,0,2.3
77,Atuona,PF,2020-09-04 18:37:09,-9.8,-139.03,78.94,78,18,22.62
78,Mataura,NZ,2020-09-04 18:37:09,-46.19,168.86,45.0,72,0,11.01
